Ticker,Name,Market,Price,Signal,Strategy,Opportunity Score,Conviction,Hurst,ADX,Vol %ile,P/D Struct %,52W Low,52W High,Ideal Risk €,Avg Volume
IWDA.AS,MSCI World,XAMS,119.51,🟢 STRONG BULL,📈 STOCK / LEAPS / CALL,13.0,🔥 ELITE,0.57,77.48,19.5,9.83,98.0,119.63,100.0,107004
QQQ,QQQ ETF,NASDAQ,713.29,🟢 STRONG BULL,📈 EARLY TREND,12.0,🔥 ELITE,0.63,67.86,64.5,18.99,485.62,713.29,100.0,40399426
SPY,SPY ETF,NYSE,739.3,🟢 STRONG BULL,📈 EARLY TREND,12.0,🔥 ELITE,0.63,43.99,47.7,13.98,557.94,739.3,100.0,50043621
COIN,Coinbase,CRYPTO,216.6,🟢 BULL,📈 EARLY TREND,11.0,💪 HIGH,0.57,19.51,32.8,-22.76,141.09,419.78,100.0,10369614
SIE.DE,Siemens,XETRA,264.95,🟢 STRONG BULL,📈 EARLY TREND,11.0,💪 HIGH,0.56,68.65,79.3,12.3,203.57,268.3,100.0,1241323
AMZN,Amazon,NASDAQ,268.99,🟢 STRONG BULL,📈 EARLY TREND,10.0,💪 HIGH,0.64,59.62,85.1,14.94,193.06,274.99,100.0,48804184
MSTR,MicroStrategy,CRYPTO,195.94,🟡 TRANSITION,⏳ WATCHLIST,10.0,💪 HIGH,0.53,50.88,26.3,-30.38,106.99,455.9,100.0,19256510
IFX.DE,Infineon,XETRA,61.66,🟢 STRONG BULL,📈 MOMENTUM LONG,8.0,⚠️ MEDIUM,0.66,76.41,99.6,33.04,31.04,61.66,100.0,5680184
GOOGL,Alphabet,NASDAQ,388.64,🟢 STRONG BULL,📈 MOMENTUM LONG,7.0,⚠️ MEDIUM,0.58,70.67,92.4,40.55,152.22,400.8,100.0,27896000
MSFT,Microsoft,NASDAQ,412.66,🟡 TRANSITION,⏳ WATCHLIST,7.0,⚠️ MEDIUM,0.53,35.78,88.2,-7.95,356.77,539.83,100.0,35804195
AMD,AMD,NASDAQ,458.79,🟢 STRONG BULL,⚠️ BULL EXTENDED,7.0,⚠️ MEDIUM,0.59,71.97,100.0,63.38,102.84,458.79,100.0,47859498
CVX,Chevron,NYSE,184.74,🟡 TRANSITION,⏳ WATCHLIST,3.0,❌ LOW,0.59,17.77,88.5,7.97,131.04,211.15,100.0,10169621
XOM,Exxon,NYSE,149.68,🟡 TRANSITION,⏳ WATCHLIST,3.0,❌ LOW,0.57,17.04,85.1,10.54,99.35,171.47,100.0,16899318
GALP.LS,Galp,XLIS,19.05,🟡 TRANSITION,⏳ WATCHLIST,3.0,❌ LOW,0.53,35.63,85.9,7.97,13.13,22.16,100.0,2804379
XLE,Energy Sector ETF,COMMODITY,57.17,🟡 TRANSITION,⏳ WATCHLIST,1.0,❌ LOW,0.52,16.93,91.2,12.04,39.5,62.56,100.0,41524278
BABA,Alibaba,NYSE,137.3,🟡 TRANSITION,⏳ WATCHLIST,1.0,❌ LOW,0.53,10.96,37.8,-6.33,103.83,189.34,100.0,9665374
AIR.PA,Airbus,XPAR,179.88,🟡 TRANSITION,⏳ WATCHLIST,0.0,❌ LOW,0.52,24.53,97.0,-2.94,154.45,216.2,100.0,1433593
ZN=F,US 10Y Note,RATES,110.41,🟡 TRANSITION,⏳ WATCHLIST,-0.7,❌ LOW,0.55,29.21,57.6,-1.14,109.5,113.86,100.0,1708205
IEF,7-10Y Treasury ETF,RATES,94.64,🟡 TRANSITION,⏳ WATCHLIST,-0.7,❌ LOW,0.55,25.0,64.5,1.37,89.66,97.06,100.0,6056670
TLT,20Y Treasury ETF,RATES,85.56,🟡 TRANSITION,⏳ WATCHLIST,-0.7,❌ LOW,0.5,31.07,41.2,0.57,80.32,89.83,100.0,21151568
ZB=F,US 30Y Bond,RATES,112.97,🟡 TRANSITION,⏳ WATCHLIST,-1.4,❌ LOW,0.53,24.02,35.0,-1.79,110.78,119.28,100.0,412249
^VIX,VIX,VOL,18.38,🟡 TRANSITION,⏳ WATCHLIST,-1.4,❌ LOW,0.4,18.55,19.5,-17.43,13.47,31.05,100.0,0
^VIX,VIX,INDEX,18.38,🟡 TRANSITION,⏳ WATCHLIST,-1.4,❌ LOW,0.4,18.55,19.5,-17.43,13.47,31.05,100.0,0
